"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill swab","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",bigfin eelpout,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",longjaw mudsucker,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",Pacific chub mackerel,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
"Pacific chub mackerel","gill",vermilion rockfish,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not collected","Pacific chub mackerel","not collected","not applicable","Scomber japonicus","FMP_121","13676","not collected","not collected","not applicable","not applicable","not applicable","not applicable","not applicable","11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","gill tissue","fish gill","not applicable","not applicable","not applicable","not applicable","not applicable",NA
